what,kind,bundleId,bundleVersion,description,time
closed,view,org.eclipse.ui.views,3.6.100.v20130326-1250,"org.eclipse.ui.views.ContentOutline",1389146498430
closed,editor,org.eclipse.jdt.ui,3.9.0.v20130605-1748,"org.eclipse.jdt.ui.CompilationUnitEditor",1389146498446
closed,editor,org.eclipse.jdt.ui,3.9.0.v20130605-1748,"org.eclipse.jdt.ui.CompilationUnitEditor",1389146498462
closed,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389146498555
closed,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1389146499196
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.400.v20130508-1748,"org.eclipse.pde.api.tools.ui",1389146499337
stopped,bundle,org.eclipse.pde.ds.ui,1.0.300.v20130507-2057,"org.eclipse.pde.ds.ui",1389146499337
stopped,bundle,org.eclipse.pde.runtime,3.4.400.v20130402-1757,"org.eclipse.pde.runtime",1389146499337
stopped,bundle,org.eclipse.pde.ua.ui,1.0.300.v20130508-1926,"org.eclipse.pde.ua.ui",1389146499337
stopped,bundle,org.eclipse.pde.ui.templates,3.4.600.v20130507-2057,"org.eclipse.pde.ui.templates",1389146499337
stopped,bundle,org.eclipse.pde.ui,3.8.0.v20130515-1659,"org.eclipse.pde.ui",1389146499337
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1389146499384
stopped,bundle,org.eclipse.ant.ui,3.5.400.v20130514-1341,"org.eclipse.ant.ui",1389146499384
stopped,bundle,org.eclipse.ant.launching,1.0.300.v20130514-1341,"org.eclipse.ant.launching",1389146499399
stopped,bundle,org.eclipse.compare.win32,1.0.200.v20130514-1224,"org.eclipse.compare.win32",1389146499446
stopped,bundle,org.eclipse.egit.ui,3.0.0.201306101825-r,"org.eclipse.egit.ui",1389146499446
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.300.v20130503-1750,"org.eclipse.equinox.p2.ui.sdk",1389146499509
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1389146499509
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1389146499509
stopped,bundle,org.eclipse.jdt.junit,3.7.200.v20130514-0733,"org.eclipse.jdt.junit",1389146499509
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20120516-0617,"org.eclipse.jdt.apt.ui",1389146499524
stopped,bundle,org.eclipse.jdt.debug.ui,3.6.200.v20130514-0841,"org.eclipse.jdt.debug.ui",1389146499540
stopped,bundle,edu.stanford.cs106,1.0.0,"edu.stanford.cs106",1389146499540
stopped,bundle,org.eclipse.jdt.ui,3.9.0.v20130605-1748,"org.eclipse.jdt.ui",1389146499540
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1389146499540
stopped,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1389146499540
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1389146499556
stopped,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1389146499556
stopped,bundle,org.eclipse.search,3.9.0.v20130312-1625,"org.eclipse.search",1389146499556
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1389146499556
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.500.v20130516-1049,"org.eclipse.ui.navigator.resources",1389146499556
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.7.100.v20130605-1748,"org.eclipse.ltk.ui.refactoring",1389146499556
stopped,bundle,org.eclipse.team.cvs.ui,3.3.600.v20130514-1224,"org.eclipse.team.cvs.ui",1389146499556
stopped,bundle,org.eclipse.team.ui,3.7.0.v20130514-1224,"org.eclipse.team.ui",1389146499556
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1389146499556
